2023-09-05 15:58:50,483 INFO    MainThread:21908 [wandb_setup.py:_flush():76] Current SDK version is 0.15.9.dev1
2023-09-05 15:58:50,484 INFO    MainThread:21908 [wandb_setup.py:_flush():76] Configure stats pid to 21908
2023-09-05 15:58:50,484 INFO    MainThread:21908 [wandb_setup.py:_flush():76] Loading settings from /Users/umakrishnaswamy/.config/wandb/settings
2023-09-05 15:58:50,484 INFO    MainThread:21908 [wandb_setup.py:_flush():76] Loading settings from /Users/umakrishnaswamy/projects/monkeybrains/wandb/settings
2023-09-05 15:58:50,484 INFO    MainThread:21908 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-09-05 15:58:50,484 INFO    MainThread:21908 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-09-05 15:58:50,484 INFO    MainThread:21908 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'fun_run.py', 'program': '/Users/umakrishnaswamy/projects/monkeybrains/fun_run.py'}
2023-09-05 15:58:50,484 INFO    MainThread:21908 [wandb_init.py:_log_setup():524] Logging user logs to /Users/umakrishnaswamy/projects/monkeybrains/wandb/run-20230905_155850-j6hsvhtg/logs/debug.log
2023-09-05 15:58:50,484 INFO    MainThread:21908 [wandb_init.py:_log_setup():525] Logging internal logs to /Users/umakrishnaswamy/projects/monkeybrains/wandb/run-20230905_155850-j6hsvhtg/logs/debug-internal.log
2023-09-05 15:58:50,484 INFO    MainThread:21908 [wandb_init.py:init():564] calling init triggers
2023-09-05 15:58:50,484 INFO    MainThread:21908 [wandb_init.py:init():571] wandb.init called with sweep_config: {}
config: {}
2023-09-05 15:58:50,484 INFO    MainThread:21908 [wandb_init.py:init():613] starting backend
2023-09-05 15:58:50,484 INFO    MainThread:21908 [wandb_init.py:init():617] setting up manager
2023-09-05 15:58:50,486 INFO    MainThread:21908 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-09-05 15:58:50,487 INFO    MainThread:21908 [wandb_init.py:init():623] backend started and connected
2023-09-05 15:58:50,489 INFO    MainThread:21908 [wandb_init.py:init():714] updated telemetry
2023-09-05 15:58:50,511 INFO    MainThread:21908 [wandb_init.py:init():747] communicating run to backend with 60.0 second timeout
2023-09-05 15:58:50,932 INFO    MainThread:21908 [wandb_run.py:_on_init():2182] communicating current version
2023-09-05 15:58:50,978 INFO    MainThread:21908 [wandb_run.py:_on_init():2191] got version response upgrade_message: "wandb version 0.15.9 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"
delete_message: "wandb version 0.15.9.dev1 has been retired!  Please upgrade."

2023-09-05 15:58:50,978 INFO    MainThread:21908 [wandb_init.py:init():798] starting run threads in backend
2023-09-05 15:58:51,093 INFO    MainThread:21908 [wandb_run.py:_console_start():2161] atexit reg
2023-09-05 15:58:51,093 INFO    MainThread:21908 [wandb_run.py:_redirect():2016] redirect: wrap_raw
2023-09-05 15:58:51,094 INFO    MainThread:21908 [wandb_run.py:_redirect():2081] Wrapping output streams.
2023-09-05 15:58:51,094 INFO    MainThread:21908 [wandb_run.py:_redirect():2106] Redirects installed.
2023-09-05 15:58:51,094 INFO    MainThread:21908 [wandb_init.py:init():839] run started, returning control to user process
2023-09-05 15:58:51,094 INFO    MainThread:21908 [wandb_run.py:_finish():1896] finishing run uma-wandb/monkeybrains/j6hsvhtg
2023-09-05 15:58:51,095 INFO    MainThread:21908 [wandb_run.py:_atexit_cleanup():2130] got exitcode: 0
2023-09-05 15:58:51,095 INFO    MainThread:21908 [wandb_run.py:_restore():2113] restore
2023-09-05 15:58:51,095 INFO    MainThread:21908 [wandb_run.py:_restore():2119] restore done
2023-09-05 15:58:54,042 INFO    MainThread:21908 [wandb_run.py:_footer_history_summary_info():3497] rendering history
2023-09-05 15:58:54,044 INFO    MainThread:21908 [wandb_run.py:_footer_history_summary_info():3529] rendering summary
2023-09-05 15:58:54,056 INFO    MainThread:21908 [wandb_run.py:_footer_sync_info():3456] logging synced files
